time,logger,level,message,exception
2012-03-30 14:57:36.0268,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-03-30 14:57:36.3648,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index AlbumsByCountSold:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByCountSold : AbstractViewGenerator
{
	public Index_AlbumsByCountSold()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.CountSold };
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.CountSold, __document_id = album.__document_id });
		this.AddField(""__document_id"");
		this.AddField(""CountSold"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""CountSold"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""CountSold"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByCountSold : AbstractViewGenerator
{
	public Index_AlbumsByCountSold()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.CountSold };
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.CountSold, __document_id = album.__document_id });
		this.AddField(""__document_id"");
		this.AddField(""CountSold"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""CountSold"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""CountSold"");
	}
}
",
2012-03-30 14:57:36.4528,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index AlbumsByGenre:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByGenre : AbstractViewGenerator
{
	public Index_AlbumsByGenre()
	{
		this.ViewText = @""from album in docs.Albums
where album.Genre != null
select new { Genre = album.Genre.Id }
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			where album.Genre != null
			select new { Genre = album.Genre.Id, __document_id = album.__document_id });
		this.AddField(""Genre"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Genre.Id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Genre.Id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByGenre : AbstractViewGenerator
{
	public Index_AlbumsByGenre()
	{
		this.ViewText = @""from album in docs.Albums
where album.Genre != null
select new { Genre = album.Genre.Id }
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			where album.Genre != null
			select new { Genre = album.Genre.Id, __document_id = album.__document_id });
		this.AddField(""Genre"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Genre.Id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Genre.Id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-03-30 14:57:36.5398,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Artists:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Artists : AbstractViewGenerator
{
	public Index_Artists()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.Artist.Id, album.Artist.Name }
from artist in results
group artist by new { artist.Id, artist.Name } into g
select new { g.Key.Id, g.Key.Name }

"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.Artist.Id, album.Artist.Name, __document_id = album.__document_id });
		this.ReduceDefinition = results => from artist in results
			group artist by new { artist.Id, artist.Name } into g
			select new { g.Key.Id, g.Key.Name };
		this.GroupByExtraction = artist => new { artist.Id, artist.Name };
		this.AddField(""Id"");
		this.AddField(""Name"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""Artist.Id"");
		this.AddQueryParameterForMap(""Artist.Name"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""Artist.Id"");
		this.AddQueryParameterForReduce(""Artist.Name"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Artists : AbstractViewGenerator
{
	public Index_Artists()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.Artist.Id, album.Artist.Name }
from artist in results
group artist by new { artist.Id, artist.Name } into g
select new { g.Key.Id, g.Key.Name }

"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.Artist.Id, album.Artist.Name, __document_id = album.__document_id });
		this.ReduceDefinition = results => from artist in results
			group artist by new { artist.Id, artist.Name } into g
			select new { g.Key.Id, g.Key.Name };
		this.GroupByExtraction = artist => new { artist.Id, artist.Name };
		this.AddField(""Id"");
		this.AddField(""Name"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""Artist.Id"");
		this.AddQueryParameterForMap(""Artist.Name"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""Artist.Id"");
		this.AddQueryParameterForReduce(""Artist.Name"");
	}
}
",
2012-03-30 14:57:36.6168,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-03-30 14:57:36.7198,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index SoldAlbums:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_SoldAlbums : AbstractViewGenerator
{
	public Index_SoldAlbums()
	{
		this.ViewText = @""from order in docs.Orders
from line in order.Lines
select new{ line.Album, line.Quantity }

from result in results
group result by result.Album into g
select new{ Album = g.Key, Quantity = g.Sum(x=>x.Quantity) }


"";
		this.ForEntityNames.Add(""Orders"");
		this.AddMapDefinition(docs => from order in docs
			where order[""@metadata""][""Raven-Entity-Name""] == ""Orders""
			from line in order.Lines
			select new { line.Album, line.Quantity, __document_id = order.__document_id });
		this.ReduceDefinition = results => from result in results
			group result by result.Album into g
			select new { Album = g.Key, Quantity = g.Sum((Func<dynamic, decimal>)(x => (decimal)(x.Quantity))) };
		this.GroupByExtraction = result => result.Album;
		this.AddField(""Album"");
		this.AddField(""Quantity"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""Lines,Album"");
		this.AddQueryParameterForMap(""Lines,Quantity"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""Lines,Album"");
		this.AddQueryParameterForReduce(""Lines,Quantity"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_SoldAlbums : AbstractViewGenerator
{
	public Index_SoldAlbums()
	{
		this.ViewText = @""from order in docs.Orders
from line in order.Lines
select new{ line.Album, line.Quantity }

from result in results
group result by result.Album into g
select new{ Album = g.Key, Quantity = g.Sum(x=>x.Quantity) }


"";
		this.ForEntityNames.Add(""Orders"");
		this.AddMapDefinition(docs => from order in docs
			where order[""@metadata""][""Raven-Entity-Name""] == ""Orders""
			from line in order.Lines
			select new { line.Album, line.Quantity, __document_id = order.__document_id });
		this.ReduceDefinition = results => from result in results
			group result by result.Album into g
			select new { Album = g.Key, Quantity = g.Sum((Func<dynamic, decimal>)(x => (decimal)(x.Quantity))) };
		this.GroupByExtraction = result => result.Album;
		this.AddField(""Album"");
		this.AddField(""Quantity"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""Lines,Album"");
		this.AddQueryParameterForMap(""Lines,Quantity"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""Lines,Album"");
		this.AddQueryParameterForReduce(""Lines,Quantity"");
	}
}
",
2012-03-30 14:57:36.7958,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Temp%2fComment%2fByArticleUri:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fComment_2fByArticleUri : AbstractViewGenerator
{
	public Index_Temp_2fComment_2fByArticleUri()
	{
		this.ViewText = @""from doc in docs.Comment
select new { ArticleUri = doc.ArticleUri }
"";
		this.ForEntityNames.Add(""Comment"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Comment""
			select new { ArticleUri = doc.ArticleUri, __document_id = doc.__document_id });
		this.AddField(""ArticleUri"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""ArticleUri"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""ArticleUri"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fComment_2fByArticleUri : AbstractViewGenerator
{
	public Index_Temp_2fComment_2fByArticleUri()
	{
		this.ViewText = @""from doc in docs.Comment
select new { ArticleUri = doc.ArticleUri }
"";
		this.ForEntityNames.Add(""Comment"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Comment""
			select new { ArticleUri = doc.ArticleUri, __document_id = doc.__document_id });
		this.AddField(""ArticleUri"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""ArticleUri"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""ArticleUri"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-03-30 14:57:36.8798,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Temp%2fComment%2fByArticleUriAndPublishedDateSortByPublishedDate:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fComment_2fByArticleUriAndPublishedDateSortByPublishedDate : AbstractViewGenerator
{
	public Index_Temp_2fComment_2fByArticleUriAndPublishedDateSortByPublishedDate()
	{
		this.ViewText = @""from doc in docs.Comment
select new { PublishedDate = doc.PublishedDate, ArticleUri = doc.ArticleUri }
"";
		this.ForEntityNames.Add(""Comment"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Comment""
			select new { PublishedDate = doc.PublishedDate, ArticleUri = doc.ArticleUri, __document_id = doc.__document_id });
		this.AddField(""PublishedDate"");
		this.AddField(""ArticleUri"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""PublishedDate"");
		this.AddQueryParameterForMap(""ArticleUri"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""PublishedDate"");
		this.AddQueryParameterForReduce(""ArticleUri"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fComment_2fByArticleUriAndPublishedDateSortByPublishedDate : AbstractViewGenerator
{
	public Index_Temp_2fComment_2fByArticleUriAndPublishedDateSortByPublishedDate()
	{
		this.ViewText = @""from doc in docs.Comment
select new { PublishedDate = doc.PublishedDate, ArticleUri = doc.ArticleUri }
"";
		this.ForEntityNames.Add(""Comment"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Comment""
			select new { PublishedDate = doc.PublishedDate, ArticleUri = doc.ArticleUri, __document_id = doc.__document_id });
		this.AddField(""PublishedDate"");
		this.AddField(""ArticleUri"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""PublishedDate"");
		this.AddQueryParameterForMap(""ArticleUri"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""PublishedDate"");
		this.AddQueryParameterForReduce(""ArticleUri"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-03-30 14:57:36.8798,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index AlbumsByCountSold,
2012-03-30 14:57:36.8798,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for AlbumsByCountSold,
2012-03-30 14:57:36.8798,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index AlbumsByGenre,
2012-03-30 14:57:36.8798,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for AlbumsByGenre,
2012-03-30 14:57:36.8798,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Artists,
2012-03-30 14:57:36.8798,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Artists,
2012-03-30 14:57:36.8798,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Raven/DocumentsByEntityName,
2012-03-30 14:57:36.8848,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Raven/DocumentsByEntityName,
2012-03-30 14:57:36.8848,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index SoldAlbums,
2012-03-30 14:57:36.8848,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for SoldAlbums,
2012-03-30 14:57:36.8848,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Temp/Comment/ByArticleUri,
2012-03-30 14:57:37.0278,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Temp/Comment/ByArticleUri,
2012-03-30 14:57:37.0278,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Temp/Comment/ByArticleUriAndPublishedDateSortByPublishedDate,
2012-03-30 14:57:37.0278,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Temp/Comment/ByArticleUriAndPublishedDateSortByPublishedDate,
2012-03-30 14:57:37.0278,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-03-30 14:57:37.0278,Raven.Database.Indexing.IndexStorage,Info,Deleting index Temp/Comment/ByArticleUri,
2012-03-30 14:57:37.0558,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 1 because: DELETE INDEX Temp/Comment/ByArticleUri,
2012-03-30 14:57:37.0558,Raven.Database.Indexing.IndexStorage,Info,Deleting index Temp/Comment/ByArticleUriAndPublishedDateSortByPublishedDate,
2012-03-30 14:57:37.0558,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 2 because: DELETE INDEX Temp/Comment/ByArticleUriAndPublishedDateSortByPublishedDate,
2012-03-30 14:57:37.0558,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: IndexingExecuter, will wait for additional work",
2012-03-30 14:57:37.0558,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2012-03-30 14:57:37.0558,Raven.Database.Server.HttpServer,Debug,"Request #  10: GET     - 1,082 ms - MyBlog     - 200 - /docs?pageSize=0&noCache=511681379",
2012-03-30 15:04:31.1884,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-03-30 15:04:31.1884,Raven.Database.Server.HttpServer,Debug,Request #  11: GET     -     5 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-03-30 15:04:31.2264,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-03-30 15:04:31.2264,Raven.Database.Server.HttpServer,Debug,Request #  12: GET     -     5 ms - MyBlog     - 404 - /docs/Raven/Replication/Destinations,
2012-03-30 15:04:31.2844,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/MyBlog' was found,
2012-03-30 15:04:31.2844,Raven.Database.Server.HttpServer,Debug,Request #  13: GET     -     6 ms - <default>  - 200 - /docs/Raven/Databases/MyBlog,
2012-03-30 15:04:33.1136,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'article/temp.ico' was not found,
2012-03-30 15:04:33.1136,Raven.Database.Server.HttpServer,Debug,Request #  14: GET     -     1 ms - MyBlog     - 404 - /docs/article/temp.ico,
2012-03-30 15:04:33.8076,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:Article,
2012-03-30 15:04:33.9917,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'article/my-first-article' was found,
2012-03-30 15:04:33.9947,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'article/another-one-of-my-articles' was found,
2012-03-30 15:04:34.0127,Raven.Database.Server.HttpServer,Debug,Request #  15: GET     -   286 ms - MyBlog     - 200 - /indexes/dynamic/Article?query=&start=0&pageSize=10&aggregation=None,
2012-03-30 15:12:57.1160,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-03-30 15:12:57.1160,Raven.Database.Server.HttpServer,Debug,Request #  16: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-03-30 15:12:57.1220,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-03-30 15:12:57.1220,Raven.Database.Server.HttpServer,Debug,Request #  17: GET     -     1 ms - MyBlog     - 404 - /docs/Raven/Replication/Destinations,
2012-03-30 15:12:57.1220,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'article/temp.ico' was not found,
2012-03-30 15:12:57.1220,Raven.Database.Server.HttpServer,Debug,Request #  18: GET     -     0 ms - MyBlog     - 404 - /docs/article/temp.ico,
2012-03-30 15:12:57.7070,Raven.Database.Server.HttpServer,Debug,Request #  19: GET     -     5 ms - MyBlog     - 304 - /indexes/dynamic/Article?query=&start=0&pageSize=10&aggregation=None,
2012-03-30 15:13:03.3306,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'article/my-first-article' was found,
2012-03-30 15:13:03.3306,Raven.Database.Server.HttpServer,Debug,Request #  20: GET     -    10 ms - MyBlog     - 200 - /docs/article/my-first-article,
2012-03-30 15:13:04.6557,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'article/temp.ico' was not found,
2012-03-30 15:13:04.6557,Raven.Database.Server.HttpServer,Debug,Request #  21: GET     -     0 ms - MyBlog     - 404 - /docs/article/temp.ico,
